Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Igarassu (PE);600;180;...;-;-;-;-;-;-;-;-;627;30;-;...;...;-;10;...;...;300;34542;-;-;...;-;-;-;-;12719;...;...;...;-;86;-;-;...;...;...;-;480;79;-;-;-;-;-;4860;280;...;-;-;-;25;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Iguaracy (PE);-;-;...;-;3066;-;-;-;188;-;-;14;400;-;...;...;-;-;...;...;-;70;-;-;...;-;-;-;-;30;...;...;...;-;4269;-;-;...;...;...;-;32;0;-;-;-;-;67;-;18;...;-;226;-;2660;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Inajá (PE);-;-;...;-;432;600;-;-;-;-;-;-;-;-;...;...;-;-;...;...;-;30;-;-;...;-;-;-;-;84;...;...;...;-;4243;-;-;...;...;...;-;29;-;-;-;-;-;720;8640;90;...;-;544;-;8776;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Ingazeira (PE);-;-;...;-;1232;-;-;-;23;-;-;33;16;-;...;...;-;-;...;...;-;7;-;-;...;-;-;-;-;30;...;...;...;-;1188;-;-;...;...;...;-;45;-;-;-;-;-;-;53;10;...;-;9;-;792;-;...;-;-;-;-;165;-;-;-;691;-;...;-;...;-
Ipojuca (PE);-;-;...;-;-;-;-;-;-;-;-;103;165;-;...;...;-;-;...;...;181;31969;-;-;...;-;-;-;-;1406;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;107;198;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Ipubi (PE);-;-;...;-;52;-;-;-;42;-;-;1132;20;27;...;...;-;-;...;...;3;54;-;-;...;-;-;-;-;12;...;...;...;168;1964;-;12;...;...;...;-;17;-;-;-;-;-;1755;1944;6;...;-;1;-;2500;-;...;-;-;-;-;215;-;-;-;-;-;...;-;...;-
Itacuruba (PE);-;-;...;-;208;165;-;6;141;-;-;490;188;-;...;...;-;-;...;...;111;216;-;-;...;784;-;-;-;63;...;...;...;-;316;-;-;...;...;...;-;41;-;-;-;-;17;5;205;186;...;-;2;11;37;-;...;-;-;-;-;-;-;-;-;391;-;...;-;...;-
Itaíba (PE);20;-;...;-;4;2827;-;-;-;-;-;-;36;-;...;...;-;-;...;...;5;17;22;-;...;-;-;-;-;-;...;...;...;177;8601;-;-;...;...;...;-;-;1;-;-;-;-;389;456;52;...;-;52;-;4041;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Ilha de Itamaracá (PE);90;-;...;-;-;-;-;-;-;-;-;66;15;-;...;...;-;-;...;...;39;583;-;-;...;-;-;-;-;3500;...;...;...;-;6;-;-;...;...;...;-;80;-;-;-;-;-;-;145;160;...;-;-;-;3;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Itambé (PE);-;180;...;-;-;26;-;-;-;-;-;202;1800;-;...;...;-;10;...;...;10;27368;-;-;...;-;-;-;-;210;...;...;...;38;251;-;-;...;...;...;-;1040;-;-;-;-;-;-;1128;175;...;-;-;-;56;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Itapetim (PE);-;-;...;-;3952;-;-;-;-;-;-;56;165;-;...;...;-;-;...;...;55;189;-;-;...;-;-;-;-;22;...;...;...;-;1856;-;-;...;...;...;-;-;-;-;-;-;-;-;96;63;...;-;11;-;2280;-;...;-;-;-;-;500;-;-;-;-;-;...;-;...;-
Itapissuma (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Itaquitinga (PE);120;-;...;-;-;-;-;-;-;-;-;179;24;-;...;...;-;-;...;...;-;15551;-;-;...;-;-;-;-;75;...;...;...;-;22;-;-;...;...;...;-;216;-;-;-;-;-;-;972;40;...;-;-;-;18;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Jaboatão dos Guararapes (PE);-;-;...;-;-;-;-;-;-;-;-;509;-;-;...;...;-;-;...;...;595;11088;-;-;...;-;-;-;-;240;...;...;...;-;-;-;-;...;...;...;-;64;-;-;-;-;-;-;758;340;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Jaqueira (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Jataúba (PE);-;-;...;-;3040;16;-;-;-;-;-;405;225;-;...;...;-;-;...;...;-;-;45;-;...;-;-;-;-;-;...;...;...;86;724;-;-;...;...;...;-;-;-;-;-;-;-;15;136;25;...;-;5;-;600;-;...;-;-;-;-;-;-;-;-;407;-;...;-;...;-
Jatobá (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
João Alfredo (PE);40;84;...;-;-;1909;-;-;-;-;-;2124;216;-;...;...;-;81;...;...;120;1650;-;-;...;-;-;-;-;26;...;...;...;1528;1710;-;-;...;...;...;-;361;-;-;-;-;-;-;3580;216;...;-;6;-;735;-;...;-;-;-;-;-;-;-;-;3667;-;...;-;...;-
Joaquim Nabuco (PE);-;-;...;-;-;-;-;-;-;-;-;339;-;-;...;...;-;-;...;...;-;5534;-;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;91;-;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Jucati (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Jupi (PE);12;122;...;-;-;64;-;-;-;-;-;151;34;9;...;...;-;-;...;...;108;45;-;-;...;-;-;-;-;120;...;...;...;273;1989;-;24;...;...;...;-;38;-;-;-;-;25;17;4440;45;...;-;15;-;720;-;...;-;-;-;-;-;-;-;-;117;-;...;-;...;-
Jurema (PE);-;-;...;-;17;48;-;-;-;-;-;1085;36;-;...;...;-;2182;...;...;420;80;-;-;...;-;-;-;-;-;...;...;...;64;371;-;-;...;...;...;-;140;-;-;-;-;-;72;2127;92;...;-;20;-;259;-;...;-;-;-;-;-;-;-;-;489;-;...;-;...;-
Lagoa do Carro (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Lagoa de Itaenga (PE);-;7;...;-;-;22;-;-;-;-;-;61;224;-;...;...;-;-;...;...;50;5204;-;-;...;-;-;-;-;30;...;...;...;14;167;-;-;...;...;...;-;132;-;-;-;-;-;-;2022;30;...;-;-;-;55;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Lagoa do Ouro (PE);39;9;...;-;-;390;-;-;-;-;-;273;16;-;...;...;-;297;...;...;28;30;-;-;...;-;-;-;-;90;...;...;...;166;1326;-;-;...;...;...;-;114;-;-;-;-;84;6;528;37;...;-;243;-;936;-;...;-;-;-;-;-;-;-;6;97;-;...;-;...;-
Lagoa dos Gatos (PE);187;-;...;-;-;18;-;-;2;-;-;453;120;-;...;...;-;130;...;...;220;865;-;-;...;-;-;-;-;74;...;...;...;13;1174;-;-;...;...;...;-;325;1;-;-;-;-;-;2140;480;...;-;-;-;660;-;...;-;-;-;-;-;-;-;23;741;-;...;-;...;-
Lagoa Grande (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Lajedo (PE);12;56;...;-;-;827;11;-;-;-;-;37;172;-;...;...;-;-;...;...;145;48;-;-;...;20;-;-;-;-;...;...;...;280;1962;-;123;...;...;...;-;28;4;-;-;-;48;66;4320;45;...;-;4;-;648;-;...;-;-;-;-;-;-;-;-;1173;-;...;-;...;-
Limoeiro (PE);-;252;...;-;-;2345;-;21;70;-;-;8496;783;-;...;...;-;81;...;...;10;2508;120;-;...;-;-;-;-;15;...;...;...;2730;2160;-;51;...;...;...;-;928;8;-;-;-;-;20;966;22;...;-;7;-;910;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Macaparana (PE);22;-;...;-;-;6;-;-;-;-;-;594;35;-;...;...;-;-;...;...;-;14192;-;-;...;-;-;-;-;35;...;...;...;22;26;-;-;...;...;...;-;32;-;-;-;-;-;-;452;12;...;-;-;-;61;-;...;-;-;10;-;-;-;-;-;88;-;...;-;...;-
Machados (PE);-;126;...;-;-;183;-;-;10;-;-;10195;64;-;...;...;-;810;...;...;18;760;-;-;...;-;-;-;-;24;...;...;...;468;638;-;-;...;...;...;-;1509;-;-;-;-;-;-;3043;22;...;-;-;-;371;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Manari (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Maraial (PE);-;450;...;-;-;-;-;-;-;-;-;2124;56;-;...;...;-;36;...;...;-;13164;-;-;...;-;-;-;-;44;...;...;...;-;79;-;-;...;...;...;-;105;-;-;-;-;-;-;1275;48;...;-;-;-;43;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Mirandiba (PE);-;-;...;-;9000;-;-;-;288;-;-;122;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;31;...;...;...;-;636;-;-;...;...;...;-;-;-;-;-;-;-;182;1107;-;...;-;32;-;432;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Moreno (PE);20;-;...;-;-;-;-;-;-;-;-;339;-;-;...;...;-;-;...;...;-;24000;-;-;...;-;-;-;-;41;...;...;...;-;-;-;-;...;...;...;-;57;-;-;-;-;-;-;257;-;...;-;-;-;10;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Nazaré da Mata (PE);22;-;...;-;-;4;-;-;-;-;-;849;56;-;...;...;-;-;...;...;-;4907;-;-;...;-;-;-;-;15;...;...;...;43;41;-;-;...;...;...;-;200;-;-;-;-;-;-;537;48;...;-;-;-;106;-;...;-;-;-;-;-;-;-;30;-;-;...;-;...;-
Olinda (PE);6;-;...;-;-;-;-;-;-;-;-;66;36;-;...;...;-;-;...;...;243;-;-;-;...;-;-;-;-;56;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;163;150;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Orobó (PE);24;-;...;-;-;459;-;-;-;-;-;6796;189;-;...;...;-;432;...;...;15;54;90;-;...;-;-;-;-;12;...;...;...;373;345;-;-;...;...;...;-;2476;-;-;-;-;-;-;3759;9;...;-;-;-;481;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Orocó (PE);-;-;...;-;600;259;-;-;183;-;-;453;150;-;...;...;-;-;...;...;-;50;-;-;...;515;-;-;-;56;...;...;...;-;589;-;-;...;...;...;-;-;-;-;-;-;-;-;337;-;...;-;50;66;460;-;...;-;-;-;-;-;-;-;-;3814;-;...;-;...;-
Ouricuri (PE);-;-;...;-;2520;-;-;-;129;-;-;94;12;-;...;...;-;-;...;...;-;54;-;-;...;-;-;-;-;6;...;...;...;22;4773;-;12;...;...;...;-;4;-;-;-;-;-;4026;1728;9;...;-;15;-;4440;-;...;-;-;-;-;155;-;-;-;48;-;...;-;...;-
Palmares (PE);5;168;...;-;-;-;-;-;-;-;-;594;75;-;...;...;-;-;...;...;-;39431;-;-;...;-;-;-;-;4;...;...;...;-;-;-;-;...;...;...;-;240;-;-;-;-;-;-;81;-;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Palmeirina (PE);120;16;...;-;-;256;5;-;-;-;-;849;48;20;...;...;-;405;...;...;216;87;-;-;...;-;-;-;-;60;...;...;...;108;728;-;15;...;...;...;-;171;4;-;-;-;25;2;668;165;...;-;5;-;81;-;...;-;-;-;-;-;-;-;-;60;-;...;-;...;-
Panelas (PE);126;-;...;-;-;320;-;-;-;-;-;339;47;-;...;...;-;216;...;...;95;660;-;-;...;-;-;-;-;-;...;...;...;99;3655;-;-;...;...;...;-;67;-;-;-;-;-;21;2983;125;...;-;33;-;2628;-;...;-;-;-;-;-;-;-;14;114;-;...;-;...;-
Paranatama (PE);14;-;...;-;-;270;30;-;-;-;-;75;88;-;...;...;-;283;...;...;315;-;-;-;...;3;-;-;-;-;...;...;...;55;2242;-;18;...;...;...;-;19;-;-;-;-;-;40;165;600;...;-;4;-;1920;-;...;-;-;-;-;-;-;-;-;141;-;...;-;...;-
Parnamirim (PE);-;-;...;-;2048;24;-;-;367;-;-;84;-;-;...;...;-;-;...;...;-;-;-;-;...;240;-;-;-;15;...;...;...;-;1392;-;-;...;...;...;-;7;-;-;-;-;-;120;22;-;...;-;-;-;1944;-;...;-;-;-;-;-;-;-;-;97;-;...;-;...;-
Passira (PE);-;-;...;-;-;2159;-;13;-;-;-;188;5;-;...;...;-;-;...;...;3;-;64;-;...;-;-;-;-;12;...;...;...;1310;1857;-;48;...;...;...;-;325;-;-;-;-;-;30;501;4;...;-;7;-;1058;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Paudalho (PE);19;13;...;-;-;8;-;-;-;-;-;70;238;-;...;...;-;45;...;...;75;7372;-;-;...;-;-;-;-;45;...;...;...;2;55;-;-;...;...;...;-;268;-;-;-;-;60;-;4059;101;...;-;20;24;34;-;...;-;-;-;-;-;-;-;-;122;-;...;-;...;-
Paulista (PE);-;-;...;-;-;-;-;-;-;-;-;23;77;-;...;...;-;-;...;...;-;62;-;-;...;-;-;-;-;900;...;...;...;-;-;-;-;...;...;...;-;48;-;-;-;-;-;-;143;100;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Pedra (PE);-;-;...;-;2759;1552;-;-;-;-;-;80;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;15;...;...;...;24;3315;-;-;...;...;...;-;24;-;-;-;-;-;1440;432;40;...;-;-;-;4329;-;...;-;-;-;-;-;-;-;-;6520;-;...;-;...;-
Pesqueira (PE);-;-;...;-;-;12;-;-;-;-;-;254;-;-;...;...;-;18;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;78;1326;-;-;...;...;...;-;-;-;-;-;-;-;1188;1785;27;...;-;-;-;3133;-;...;-;-;-;-;-;-;-;-;73923;-;...;-;...;-
Petrolândia (PE);-;-;...;-;70;63;5;3;13;-;-;113;24;-;...;...;-;-;...;...;6;3;-;-;...;13;-;-;-;90;...;...;...;-;549;-;-;...;...;...;-;412;4;-;-;-;23;9;229;18;...;-;5;7;129;-;...;-;-;-;-;-;-;-;22;524;-;...;-;...;40
Petrolina (PE);-;-;...;-;578;171;-;-;264;-;-;283;720;-;...;...;-;-;...;...;-;112;-;-;...;1201;-;-;-;-;...;...;...;-;2959;-;-;...;...;...;-;-;-;-;-;-;-;950;1512;-;...;-;2500;639;792;-;...;-;-;-;-;-;-;-;-;32600;-;...;-;...;60
Poção (PE);-;-;...;-;2;-;-;-;-;-;-;28;-;-;...;...;-;4;...;...;-;3;4;-;...;-;-;-;-;-;...;...;...;70;1166;-;-;...;...;...;-;-;-;-;-;-;-;69;472;6;...;-;-;-;1065;-;...;-;-;-;-;-;-;-;-;10112;-;...;-;...;-
Pombos (PE);-;320;...;-;-;-;-;-;-;-;-;708;1800;-;...;...;-;-;...;...;-;15840;-;-;...;-;-;-;-;1200;...;...;...;86;353;-;18;...;...;...;-;1;4;-;-;-;-;-;3750;30;...;-;-;-;151;-;...;-;-;-;-;-;-;-;-;665;-;...;-;...;-
Primavera (PE);60;-;...;-;-;-;-;-;-;-;-;424;50;-;...;...;-;-;...;...;-;11135;-;-;...;-;-;-;-;7;...;...;...;-;-;-;-;...;...;...;-;96;-;-;-;-;-;-;453;86;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Quipapá (PE);80;12;...;-;-;-;-;-;-;-;-;1274;70;-;...;...;-;108;...;...;210;7796;-;-;...;-;-;-;-;48;...;...;...;102;172;-;-;...;...;...;-;95;-;-;-;-;-;-;1956;375;...;-;-;-;432;-;...;-;-;-;-;-;-;-;4;-;-;...;-;...;-
Quixaba (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Recife (PE);-;-;...;-;-;-;-;-;124;-;-;9;3;-;...;...;-;-;...;...;12;99;-;-;...;-;-;-;-;3;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;7;20;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Riacho das Almas (PE);30;9270;...;-;3153;572;-;36;-;-;-;89;200;-;...;...;-;30;...;...;15;-;18;-;...;-;-;-;-;7;...;...;...;50;994;-;-;...;...;...;-;30;-;-;-;-;3;48;2720;7;...;-;128;-;1350;-;...;-;-;-;-;216;-;-;-;326;-;...;-;...;-
Ribeirão (PE);16;7;...;-;-;-;-;-;-;-;-;382;-;-;...;...;-;-;...;...;-;21957;-;-;...;-;-;-;-;22;...;...;...;-;-;-;-;...;...;...;-;72;-;-;-;-;-;-;388;-;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Rio Formoso (PE);-;-;...;-;-;-;-;-;-;-;-;84;135;-;...;...;-;-;...;...;20;55601;-;-;...;-;-;-;-;973;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;96;176;...;-;1;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Sairé (PE);32;-;...;-;27;118;-;-;-;-;-;339;108;-;...;...;-;972;...;...;270;480;-;-;...;-;-;-;-;-;...;...;...;374;552;-;-;...;...;...;-;293;21;-;-;-;-;24;1807;56;...;-;163;-;345;-;...;-;-;-;-;7;-;-;72;815;-;...;-;...;-
Salgadinho (PE);-;-;...;-;-;473;-;-;-;-;-;141;25;-;...;...;-;-;...;...;1;-;125;-;...;-;-;-;-;10;...;...;...;683;712;-;-;...;...;...;-;516;-;-;-;-;-;3;2416;78;...;-;4;-;260;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Salgueiro (PE);-;-;...;-;1620;-;212;-;176;-;-;472;-;-;...;...;-;-;...;...;-;37;-;-;...;99;-;-;-;5;...;...;...;-;1326;-;-;...;...;...;-;46;-;-;-;-;-;112;19;12;...;-;2;-;1146;-;...;-;-;-;-;-;-;-;-;1630;-;...;-;...;2
Saloá (PE);-;-;...;-;-;350;36;-;-;-;-;320;198;-;...;...;-;4238;...;...;27;-;-;-;...;-;-;-;-;-;...;...;...;72;3456;-;-;...;...;...;-;114;-;-;-;-;-;42;2033;125;...;-;3;-;1813;-;...;-;-;-;-;-;-;-;-;48;-;...;-;...;-
Sanharó (PE);-;-;...;-;-;10;-;-;-;-;-;188;-;-;...;...;-;27;...;...;101;-;-;-;...;-;-;-;-;-;...;...;...;47;1547;-;-;...;...;...;-;7;-;-;-;-;-;302;485;11;...;-;12;-;979;-;...;-;-;-;-;-;-;-;-;912;-;...;-;...;-
Santa Cruz (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Cruz da Baixa Verde (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Cruz do Capibaribe (PE);-;-;...;-;324;120;-;-;-;-;-;-;20;-;...;...;-;-;...;...;-;-;18;-;...;-;-;-;-;-;...;...;...;12;696;-;-;...;...;...;-;-;-;-;-;-;-;-;-;-;...;-;30;-;378;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santa Filomena (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Maria da Boa Vista (PE);-;-;...;-;126;1719;-;-;414;-;-;75;780;-;...;...;-;-;...;...;-;196;-;-;...;1961;-;-;-;11;...;...;...;1288;2660;-;-;...;...;...;-;54;-;-;-;-;-;247;972;-;...;-;312;2880;781;-;...;-;-;-;-;-;-;-;-;10187;-;...;-;...;448
Santa Maria do Cambucá (PE);-;-;...;-;10;205;-;-;-;-;-;-;252;-;...;...;-;-;...;...;126;-;-;-;...;-;-;-;-;45;...;...;...;294;503;-;-;...;...;...;-;51;-;-;-;-;-;-;300;57;...;-;-;-;261;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santa Terezinha (PE);-;-;...;-;985;-;-;-;124;-;-;84;250;-;...;...;-;-;...;...;237;144;-;-;...;-;-;-;-;23;...;...;...;-;1966;-;-;...;...;...;-;51;-;-;-;-;-;-;1296;157;...;-;9;-;1890;-;...;-;-;-;-;1800;-;-;-;48;-;...;-;...;-
São Benedito do Sul (PE);300;-;...;-;-;-;-;-;-;-;-;849;-;-;...;...;-;76;...;...;66;13145;-;-;...;-;-;-;-;16;...;...;...;48;41;-;-;...;...;...;-;58;-;-;-;-;-;-;317;292;...;-;-;-;96;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Bento do Una (PE);-;-;...;-;-;305;-;-;-;-;-;-;180;-;...;...;-;-;...;...;-;-;-;-;...;20;-;-;-;-;...;...;...;16;636;-;-;...;...;...;-;-;-;-;-;-;-;117;972;-;...;-;120;-;840;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Caitano (PE);50;-;...;-;-;91;-;-;-;-;-;1274;360;-;...;...;-;1938;...;...;12;11;-;-;...;-;-;-;-;36;...;...;...;31;3712;-;-;...;...;...;-;120;-;-;-;-;41;630;2040;36;...;-;11;-;4320;-;...;-;-;-;-;154;-;-;-;489;-;...;-;...;-
São João (PE);128;-;...;-;-;223;24;-;-;-;-;509;262;25;...;...;-;481;...;...;180;54;-;-;...;3;-;-;-;-;...;...;...;110;3201;-;33;...;...;...;-;102;4;-;-;-;32;31;989;165;...;-;20;-;915;-;...;-;-;-;-;-;-;-;-;146;-;...;-;...;-
São Joaquim do Monte (PE);-;-;...;-;2;152;-;-;-;-;-;188;112;-;...;...;-;1134;...;...;54;192;-;-;...;-;-;-;-;10;...;...;...;189;496;-;-;...;...;...;-;232;7;-;-;-;-;7;659;72;...;-;78;-;370;-;...;-;-;-;-;-;-;-;64;2852;-;...;-;...;-
São José da Coroa Grande (PE);-;-;...;-;-;-;-;-;80;-;-;28;72;-;...;...;-;-;...;...;7;7480;-;-;...;-;-;-;-;693;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;107;81;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São José do Belmonte (PE);-;-;...;-;4444;-;-;-;1440;-;-;207;315;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;72;...;...;...;-;1166;-;-;...;...;...;-;720;-;-;-;-;-;720;1045;1350;...;-;120;-;4642;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São José do Egito (PE);-;-;...;-;3942;-;-;-;95;-;-;103;594;-;...;...;-;-;...;...;112;76;-;-;...;-;-;-;-;28;...;...;...;-;2574;-;-;...;...;...;-;77;-;-;-;-;-;-;93;100;...;-;30;-;5905;-;...;-;-;-;-;1800;-;-;-;48;-;...;-;...;-
São Lourenço da Mata (PE);-;-;...;-;-;-;-;-;-;-;-;151;117;-;...;...;-;-;...;...;796;11765;-;-;...;-;-;-;-;35;...;...;...;-;115;-;-;...;...;...;-;56;-;-;-;-;-;-;2878;60;...;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Vicente Férrer (PE);28;-;...;-;-;4;-;-;-;-;-;3398;52;-;...;...;-;220;...;...;-;5849;-;-;...;12;-;-;-;-;...;...;...;24;33;-;-;...;...;...;-;132;-;-;-;-;-;-;470;-;...;-;-;-;62;-;...;-;-;8;-;-;-;-;-;596;-;...;-;...;1395
Serra Talhada (PE);-;-;...;-;14134;-;-;-;129;-;-;179;189;-;...;...;-;-;...;...;-;21;-;-;...;20;-;-;-;24;...;...;...;-;8486;-;-;...;...;...;-;20;-;-;-;-;-;264;379;27;...;-;22;87;8754;-;...;-;-;-;-;-;-;-;-;717;-;...;-;...;-
Serrita (PE);-;-;...;-;540;-;-;-;240;-;-;141;27;-;...;...;-;-;...;...;-;36;-;-;...;-;-;-;-;1;...;...;...;-;716;-;-;...;...;...;-;-;-;-;-;-;-;550;227;-;...;-;-;-;951;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Sertânia (PE);1120;-;...;-;4095;-;-;-;-;-;-;-;80;-;...;...;-;-;...;...;-;2;-;-;...;-;-;-;-;62;...;...;...;-;7425;-;-;...;...;...;-;12;-;-;-;-;-;38;1;1380;...;-;43;-;6540;-;...;-;-;-;-;400;-;-;-;293;-;...;-;...;-
